ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
1821,235900.0,1330,0.0,2,1.5,34,24
2127,658000.0,3123,1254089.0,3,3.5,28,21
2472,420000.0,2648,7853.0,3,3.0,118,182
2155,403000.0,1610,0.0,2,2.0,32,36
1985,632000.0,1288,,2,2.5,3,71
2114,539000.0,590,,1,1.0,48,81
2139,1211000.0,3516,7224.0,5,3.5,3,22
1702,235000.0,1650,,3,2.5,19,18
1453,159000.0,915,,2,1.0,33,41
1721,248000.0,709,175950.0,1,1.0,55,22
2115,494900.0,690,,1,1.0,92,57
2129,1175000.0,1386,,3,1.0,118,63
3079,124000.0,720,720.0,2,1.0,128,7
1773,500000.0,1164,1164.0,3,1.0,93,21
1748,207000.0,1675,,2,2.0,31,5
2054,193000.0,1529,,3,2.0,13,24
2360,329900.0,1368,,2,2.0,17,23
2445,745000.0,6100,,4,5.0,6,265
2050,460000.0,1737,,2,2.5,32,21
1970,196000.0,1023,1023.0,2,2.0,128,22
1904,150000.0,1080,1.0,2,1.5,42,113
2130,600000.0,1364,,2,2.0,31,64
1742,379000.0,1960,,3,2.5,5,11
1876,256000.0,982,,2,1.0,42,84
2169,235000.0,1242,1242.0,3,1.5,113,63
1752,78000.0,1596,,2,1.5,35,69
2127,315000.0,1550,,3,2.5,128,22
2129,689000.0,2440,2440.0,3,3.5,8,10
2119,335000.0,1574,,2,1.5,29,65
2149,280000.0,1823,,2,2.0,15,34
1826,133000.0,1877,0.0,2,2.5,32,77
2121,285000.0,2238,999999.0,3,3.5,108,20
2136,288000.0,1068,4500.0,2,1.5,54,42
1867,800000.0,1173,4500.0,2,1.5,54,65
2145,755000.0,1388,,2,2.5,9,48
2190,335790.0,1064,1064.0,2,2.0,19,57
1520,154000.0,1188,,2,1.5,35,190
2130,610000.0,1157,,2,1.5,17,19
2184,293000.0,1605,5000.0,3,2.5,5,33
1810,144088.0,1601,,2,1.5,13,43
2171,240000.0,2146,,2,1.5,41,75
2472,526000.0,1250,,2,2.0,46,43
2532,180000.0,1524,0.0,2,1.5,31,6
2128,665000.0,885,,1,1.0,158,156
2360,850000.0,907,,2,2.0,102,6
1867,331000.0,924,,1,1.5,12,12
1833,501000.0,603,,1,1.0,39,81
2478,1427000.0,771,,2,1.0,73,5
1519,194000.0,1398,,3,1.5,118,26
1773,347000.0,908,908.0,2,1.0,128,29
2124,450000.0,1801,,3,1.5,44,71
2472,470000.0,1027,1153.0,3,1.0,98,17
2360,242500.0,662,662.0,1,1.0,119,28
2127,469900.0,810,810.0,2,2.0,118,19
2351,269900.0,974,,2,1.5,38,21
2151,180000.0,476,,0,1.0,13,7
2114,530000.0,1566,,3,2.0,98,7
1902,235000.0,1601,,3,3.0,97,36
2127,669000.0,2202,,3,2.5,2,41
1950,459000.0,698,,2,1.0,118,33
2148,345000.0,1864,2265120.0,3,2.0,35,21
1463,160000.0,1367,0.0,3,1.5,11,40
2461,697000.0,1250,,3,1.5,13,78
1970,315000.0,1944,,3,2.5,12,18
2118,695000.0,851,,2,1.0,29,7
2472,400000.0,875,,2,2.0,12,14
1453,150000.0,2615,36634.0,3,2.5,20,20
2467,730000.0,1535,7450.0,3,1.0,103,19
